AP_ICAO,AP_Name,AP_IATA,AP_Country,AP_LatLong,AP_Municipality,AP_Type,AP_AltitudeFt,AP_RunwayLenM,AP_Passengers,AP_MoreInfoLink,AP_URLHome
ENBN,BrÃ¸nnÃ¸ysund Airport BrÃ¸nnÃ¸y,BNN,NO,"N652740,E0121303",BrÃ¸nnÃ¸y,A,25,1200,131215,https://en.wikipedia.org/wiki/BrÃ¸nnÃ¸ysund_Airport_BrÃ¸nnÃ¸y,http://www.avinor.no/en/airport/bronnoysund
NSTU,Pago Pago International Airport,PPG,AS,"S141941,W1704243",Pago Pago,A,32,3048,130878,https://en.wikipedia.org/wiki/Pago_Pago_International_Airport,NULL
VIGG,Gaggal Airport,DHM,IN,"N320954,E0761548",NULL,A,2525,1408,130438,https://en.wikipedia.org/wiki/Gaggal_Airport,NULL
LFRH,Lorient South Brittany Airport,LRT,FR,"N474538,W0032624",Lorient/Lann/BihouÃ©,A,160,1670,129744,https://en.wikipedia.org/wiki/Lorient_South_Brittany_Airport,http://www.lorient.aeroport.fr/
KGRI,Central Nebraska Regional Airport,GRI,US,"N405803,W0981835",Grand Island,A,1847,2134,129204,https://en.wikipedia.org/wiki/Central_Nebraska_Regional_Airport,http://www.flygrandisland.com/
KFLG,Flagstaff Pulliam Airport,FLG,US,"N350825,W1114008",Flagstaff,A,7014,NULL,129156,https://en.wikipedia.org/wiki/Flagstaff_Pulliam_Airport,http://www.flagstaff.az.gov/index.aspx?nid=1541
PAOT,Ralph Wien Memorial Airport,OTZ,US,"N665305,W1623556",Kotzebue,A,14,1798,128962,https://en.wikipedia.org/wiki/Ralph_Wien_Memorial_Airport,NULL
KACT,Waco Regional Airport,ACT,US,"N313641,W0971350",Waco,A,516,2010,128712,https://en.wikipedia.org/wiki/Waco_Regional_Airport,http://www.waco-texas.com/airport/
SBKG,Campina Grande Airport,CPV,BR,"S071609,W0355342",Campina Grande,A,1646,1600,128149,https://en.wikipedia.org/wiki/Campina_Grande_Airport,http://www.infraero.com.br/index.php/br/aeroportos/paraiba/aeroporto-presidente-joao-suassuna.html
RPNS,Sayak Airport,IAO,PH,"N095132,E1260050",Del Carmen,A,10,1326,127943,https://en.wikipedia.org/wiki/Sayak_Airport,NULL
